machine_identifier,start_ts,end_ts,duration_in_s,identifier,station,station_instance,subsystem_instance,code
innovative_cheese_machine,2022-05-06T18:22:15.523Z,2022-05-06T18:22:56.131Z,40.608,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T18:23:10.643Z,2022-05-06T18:44:35.499Z,1284.856,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T18:55:48.766Z,2022-05-06T18:57:03.227Z,74.461,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T19:18:03.931Z,2022-05-06T19:18:12.650Z,8.719,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T19:18:27.162Z,2022-05-06T19:22:01.147Z,213.985,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T19:22:15.660Z,2022-05-06T19:22:26.436Z,10.776,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T19:22:40.943Z,2022-05-06T19:23:28.156Z,47.213,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T19:23:42.668Z,2022-05-06T19:26:32.849Z,170.181,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-07T01:07:17.509Z,2022-05-07T01:07:30.153Z,12.644,319.0.757.0.1950.0.5.0,319,0,0,1950
innovative_cheese_machine,2022-05-07T01:07:30.193Z,2022-05-07T01:08:36.174Z,65.981,319.0.757.0.1950.0.5.0,319,0,0,1950
innovative_cheese_machine,2022-05-07T01:08:36.378Z,2022-05-07T01:08:36.442Z,0.064,318.1.768.0.2104.0.0.0,318,1,0,2104
innovative_cheese_machine,2022-05-07T01:09:02.177Z,2022-05-07T01:09:19.193Z,17.016,319.0.757.0.1950.0.5.0,319,0,0,1950
innovative_cheese_machine,2022-05-07T01:09:19.233Z,2022-05-07T01:09:55.294Z,36.061,319.0.757.0.1950.0.5.0,319,0,0,1950
innovative_cheese_machine,2022-05-07T01:09:55.621Z,2022-05-07T01:10:09.740Z,14.119,14.0.0.0.1427.0.1.0,14,0,0,1427
innovative_cheese_machine,2022-05-07T01:11:58.338Z,2022-05-07T01:11:58.354Z,0.016,3.0.0.0.1168.0.0.0,3,0,0,1168
innovative_cheese_machine,2022-05-07T01:12:27.835Z,2022-05-07T01:13:33.915Z,66.08,92.0.0.0.2030.0.82.0,92,0,0,2030
innovative_cheese_machine,2022-05-07T01:13:42.851Z,2022-05-07T01:14:11.555Z,28.704,14.0.0.0.1427.0.1.0,14,0,0,1427
